Date,HomeTeam,AwayTeam,outcome_by_HOME,AVERAGE_ODD_WIN,AVERAGE_ODD_DRAW,AVERAGE_ODD_OPPONENT_WIN,RANKINGHOME,RANKING AWAY,LAST_GAME_RHOMETEAM,LAST_GAME_RAWAYTEAM
10/4/15,Arsenal,Man United,W,6.951,3.407,3.544,3,4,-1,1
10/4/15,Everton,Liverpool,D,7.32,3.193,2.773,11,6,-1,0
10/4/15,Swansea,Tottenham,D,7.407,3.221,2.739,8,5,-1,1
10/17/15,Chelsea,Aston Villa,W,6.862,4.748,8.7,1,17,1,0
10/17/15,Crystal Palace,West Ham,L,7.148,3.354,3.64,10,12,1,1
10/17/15,Everton,Man United,L,7.887,3.283,2.48,11,4,-1,0
10/17/15,Man City,Bournemouth,W,6.741,4.878,8.755,2,20,-1,-1
10/17/15,Southampton,Leicester,D,6.994,3.5,4.502,7,14,0,-1
10/17/15,Tottenham,Liverpool,D,7.385,3.281,2.9,5,6,1,1
10/17/15,Watford,Arsenal,L,10.148,4.323,2.076,20,3,-1,1
10/17/15,West Brom,Sunderland,W,7.138,3.16,3.829,13,16,0,1
10/18/15,Newcastle,Norwich,W,7.576,3.253,2.779,15,20,-1,1
10/19/15,Swansea,Stoke,L,6.93,3.18,3.768,8,9,-1,-1
10/24/15,Arsenal,Everton,W,6.539,4.21,7.108,3,11,1,-1
10/24/15,Aston Villa,Swansea,L,7.472,3.16,2.639,17,8,0,1
10/24/15,Leicester,Crystal Palace,W,6.971,3.25,3.234,14,10,1,1
10/24/15,Norwich,West Brom,L,6.798,3.229,3.777,20,13,0,1
10/24/15,Stoke,Watford,L,6.842,3.143,3.665,9,20,-1,0
10/24/15,West Ham,Chelsea,W,8.251,3.646,2.194,12,1,1,0
10/25/15,Bournemouth,Tottenham,L,7.875,3.337,2.369,20,5,-1,1
10/25/15,Liverpool,Southampton,D,6.831,3.315,3.64,6,7,-1,-1
10/25/15,Man United,Man City,D,7.261,3.273,2.794,4,2,-1,0
10/25/15,Sunderland,Newcastle,W,7.206,3.227,2.858,16,15,0,-1
10/31/15,Chelsea,Liverpool,L,7.2,3.223,3.546,1,6,-1,-1
10/31/15,Crystal Palace,Man United,D,8.606,3.42,2.281,10,4,-1,1
10/31/15,Man City,Norwich,W,6.882,5.307,10.254,2,20,-1,-1
10/31/15,Newcastle,Stoke,D,7.429,3.236,3.018,15,9,-1,1
10/31/15,Swansea,Arsenal,L,9.391,3.952,2.087,8,3,1,-1
10/31/15,Watford,West Ham,W,7.565,3.216,2.817,20,12,0,-1
10/31/15,West Brom,Leicester,L,7.734,3.234,2.642,13,14,1,0
11/1/15,Everton,Sunderland,W,6.858,3.947,6.504,11,16,0,1
11/1/15,Southampton,Bournemouth,W,6.871,3.86,5.794,7,20,1,0
11/2/15,Tottenham,Aston Villa,W,6.486,4.191,7.384,5,17,1,1
11/7/15,Bournemouth,Newcastle,L,6.962,3.292,3.247,20,15,-1,1
11/7/15,Leicester,Watford,W,6.711,3.434,4.056,14,20,1,-1
11/7/15,Man United,West Brom,W,6.474,4.48,9.794,4,13,0,0
11/7/15,Norwich,Swansea,W,7.153,3.235,2.902,20,8,-1,0
11/7/15,Stoke,Chelsea,W,8.132,3.45,2.265,9,1,0,1
11/7/15,Sunderland,Southampton,L,8.928,3.765,2.126,16,7,1,0
11/7/15,West Ham,Everton,D,7.229,3.289,2.771,12,11,1,1
11/8/15,Arsenal,Tottenham,D,6.637,3.672,4.607,3,5,-1,-1
11/8/15,Aston Villa,Man City,D,11.184,4.951,2.112,17,2,-1,-1
11/8/15,Liverpool,Crystal Palace,L,6.581,3.513,5.223,6,10,0,1
11/21/15,Chelsea,Norwich,W,6.384,4.318,7.6,1,20,1,0
11/21/15,Everton,Aston Villa,W,6.421,3.755,5.8,11,17,-1,-1
11/21/15,Man City,Liverpool,L,6.506,3.613,5.041,2,6,1,-1
11/21/15,Newcastle,Leicester,L,7.056,3.392,2.57,15,14,-1,0
11/21/15,Southampton,Stoke,L,6.433,3.596,5.818,7,9,0,1
11/21/15,Swansea,Bournemouth,D,6.628,3.316,4.144,8,20,-1,1
11/21/15,Watford,Man United,L,8.269,3.475,2.254,20,4,-1,-1
11/21/15,West Brom,Arsenal,W,10.233,4.524,2.091,13,3,-1,1
11/22/15,Tottenham,West Ham,W,6.338,3.812,5.688,5,12,0,1
11/23/15,Crystal Palace,Sunderland,L,6.098,3.657,5.957,10,16,1,1
11/28/15,Aston Villa,Watford,L,7.984,3.139,2.78,17,20,0,-1
11/28/15,Bournemouth,Everton,D,8.137,3.392,2.521,20,11,0,0
11/28/15,Crystal Palace,Newcastle,W,7.295,3.566,4.786,10,15,-1,1
11/28/15,Leicester,Man United,D,8.078,3.355,2.462,14,4,1,-1
11/28/15,Man City,Southampton,W,7.224,3.912,5.553,2,7,0,1
11/28/15,Sunderland,Stoke,W,8.275,3.23,2.515,16,9,-1,1
11/29/15,Liverpool,Swansea,W,7.077,4.069,6.776,6,8,1,-1
11/29/15,Norwich,Arsenal,D,10.402,4.382,2.043,20,3,0,1
11/29/15,Tottenham,Chelsea,D,7.79,3.246,2.817,5,1,-1,-1
11/29/15,West Ham,West Brom,D,7.501,3.219,3.646,12,13,0,1
12/5/15,Arsenal,Sunderland,W,6.974,5.24,11.193,3,16,0,-1
12/5/15,Chelsea,Bournemouth,L,6.936,4.562,8.237,1,20,1,-1
12/5/15,Man United,West Ham,D,6.934,4.041,7.827,4,12,1,0
12/5/15,Southampton,Aston Villa,D,6.96,3.845,6.565,7,17,0,1
12/5/15,Stoke,Man City,W,9.723,3.995,2.085,9,2,-1,0
12/5/15,Swansea,Leicester,L,7.763,3.271,2.684,8,14,-1,1
12/5/15,Watford,Norwich,W,7.332,3.216,3.432,20,20,-1,-1
12/5/15,West Brom,Tottenham,D,9.117,3.606,2.172,13,5,1,-1
12/6/15,Newcastle,Liverpool,W,10.125,4.273,2.062,15,6,1,1
12/7/15,Everton,Crystal Palace,D,7.056,3.301,3.52,11,10,-1,1
12/12/15,Bournemouth,Man United,W,8.561,3.329,2.415,20,4,-1,1
12/12/15,Crystal Palace,Southampton,W,7.979,3.165,2.882,10,7,-1,-1
12/12/15,Man City,Swansea,W,7.313,5.032,9.573,2,8,-1,0
12/12/15,Norwich,Everton,D,8.24,3.351,2.564,20,11,0,1
12/12/15,Sunderland,Watford,L,8.178,3.157,2.689,16,20,-1,1
12/12/15,West Ham,Stoke,D,8.016,3.148,2.838,12,9,0,1
12/13/15,Aston Villa,Arsenal,L,11.004,4.377,2.079,17,3,0,1
12/13/15,Liverpool,West Brom,D,7.26,4.15,8.18,6,13,1,0
12/13/15,Tottenham,Newcastle,L,7.407,4.577,7.911,5,15,-1,0
12/14/15,Leicester,Chelsea,W,8.202,3.388,2.438,14,1,-1,1
12/19/15,Chelsea,Sunderland,W,7.178,4.844,10.134,1,16,-1,1
12/19/15,Everton,Leicester,L,7.559,3.393,3.344,11,14,-1,-1
12/19/15,Man United,Norwich,L,7.161,4.037,7.228,4,20,1,0
12/19/15,Newcastle,Aston Villa,D,7.365,3.247,3.71,15,17,-1,1
12/19/15,Southampton,Tottenham,L,7.942,3.235,2.74,7,5,-1,1
12/19/15,Stoke,Crystal Palace,L,7.792,3.127,2.992,9,10,1,1
12/19/15,West Brom,Bournemouth,L,7.856,3.158,2.878,13,20,0,-1
12/20/15,Swansea,West Ham,D,7.315,3.189,3.535,8,12,-1,1
12/20/15,Watford,Liverpool,W,8.915,3.499,2.219,20,6,-1,0
12/21/15,Arsenal,Man City,W,7.572,3.325,2.931,3,2,0,1
12/26/15,Aston Villa,West Ham,D,7.83,3.15,2.767,17,12,0,1
12/26/15,Bournemouth,Crystal Palace,D,7.671,3.242,2.913,20,10,-1,0
12/26/15,Chelsea,Watford,D,7.162,4.082,6.767,1,20,1,1
12/26/15,Liverpool,Leicester,W,7.45,3.507,3.647,6,14,-1,1
12/26/15,Man City,Sunderland,W,7.199,6.082,13.055,2,16,-1,-1
12/26/15,Newcastle,Everton,L,8.384,3.447,2.363,15,11,-1,1
12/26/15,Southampton,Arsenal,W,8.639,3.472,2.279,7,3,0,-1
12/26/15,Stoke,Man United,W,8.335,3.227,2.47,9,4,1,-1
12/26/15,Swansea,West Brom,W,7.419,3.168,4.034,8,13,1,0
12/26/15,Tottenham,Norwich,W,7.055,4.157,7.098,5,20,-1,1
12/28/15,Arsenal,Bournemouth,W,7.277,4.282,7.247,3,20,-1,-1
12/28/15,Crystal Palace,Swansea,D,7.714,3.212,3.716,10,8,1,-1
12/28/15,Everton,Stoke,L,7.648,3.331,3.841,11,9,1,-1
12/28/15,Man United,Chelsea,D,8.013,3.162,2.871,4,1,-1,-1
12/28/15,Norwich,Aston Villa,W,7.715,3.272,3.621,20,17,-1,-1
12/28/15,Watford,Tottenham,L,8.957,3.44,2.283,20,5,1,1
12/28/15,West Brom,Newcastle,W,7.807,3.151,3.416,13,15,1,-1
12/28/15,West Ham,Southampton,W,8.625,3.337,2.372,12,7,1,1
12/29/15,Leicester,Man City,D,9.133,3.943,2.114,14,2,-1,1
12/30/15,Sunderland,Liverpool,L,9.811,3.932,2.117,16,6,1,1
1/2/16,Arsenal,Newcastle,W,7.126,5.26,10.3,3,15,0,0
1/2/16,Leicester,Bournemouth,D,7.31,3.407,3.838,14,20,-1,-1
1/2/16,Man United,Swansea,W,7.073,3.704,6.476,4,8,1,1
